name	description	function	returns	argument	type	details
ee.Array.cbrt	On an element-wise basis, computes the cubic root of the input.	Array.cbrt()	Array	input	Array	The input array.
ee.Array.ceil	On an element-wise basis, computes the smallest integer greater than or equal to the input.	Array.ceil()	Array	input	Array	The input array.
ee.Array.cos	On an element-wise basis, computes the cosine of the input in radians.	Array.cos()	Array	input	Array	The input array.
ee.Array.cosh	On an element-wise basis, computes the hyperbolic cosine of the input.	Array.cosh()	Array	input	Array	The input array.
ee.Array.cut	Cut an array along one or more axes.	Array.cut(position)	Array	array|position	Array|List	The array to cut.|Cut an array along one or more axes.  The positions args specifies either a single value for each axis of the array, or -1, indicating the whole axis.  The output will be an array that has the same dimensions as the input, with a length of 1 on each axis that was not -1 in the positions array.
ee.Array.digamma	On an element-wise basis, computes the digamma function of the input.	Array.digamma()	Array	input	Array	The input array.
ee.Array.divide	On an element-wise basis, divides the first value by the second, returning 0 for division by 0.	Array.divide(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.dotProduct	Compute the dot product between two 1-D arrays.	Array.dotProduct(array2)	Number	array1|array2	Array|Array	The first 1-D array.|The second 1-D array.
ee.Array.double	On an element-wise basis, casts the input value to a 64-bit float.	Array.double()	Array	input	Array	The input array.
ee.Array.eigen	Computes the real eigenvectors and eigenvalues of a square 2D array of A rows and A columns. Returns an array with A rows and A+1 columns, where each row contains an eigenvalue in the first column, and the corresponding eigenvector in the remaining A columns. The rows are sorted by eigenvalue, in descending order.	Array.eigen()	Array	input	Array	A square, 2D array from which to compute the eigenvalue decomposition.
ee.Array.eq	On an element-wise basis, returns 1 iff the first value is equal to the second.	Array.eq(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.erf	On an element-wise basis, computes the error function of the input.	Array.erf()	Array	input	Array	The input array.
ee.Array.erfInv	On an element-wise basis, computes the inverse error function of the input.	Array.erfInv()	Array	input	Array	The input array.
ee.Array.erfc	On an element-wise basis, computes the complementary error function of the input.	Array.erfc()	Array	input	Array	The input array.
ee.Array.erfcInv	On an element-wise basis, computes the inverse complementary error function of the input.	Array.erfcInv()	Array	input	Array	The input array.
ee.Array.exp	On an element-wise basis, computes the Euler's number e raised to the power of the input.	Array.exp()	Array	input	Array	The input array.
ee.Array.first	On an element-wise basis, selects the value of the first value.	Array.first(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.firstNonZero	On an element-wise basis, selects the first value if it is non-zero, and the second value otherwise.	Array.firstNonZero(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.first_nonzero	On an element-wise basis, selects the first value if it is non-zero, and the second value otherwise.	Array.first_nonzero(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.float	On an element-wise basis, casts the input value to a 32-bit float.	Array.float()	Array	input	Array	The input array.
ee.Array.floor	On an element-wise basis, computes the largest integer less than or equal to the input.	Array.floor()	Array	input	Array	The input array.
ee.Array.gamma	On an element-wise basis, computes the gamma function of the input.	Array.gamma()	Array	input	Array	The input array.
ee.Array.gammainc	On an element-wise basis, calculates the regularized lower incomplete Gamma function γ(x,a).	Array.gammainc(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.get	Extracts the value at the given position from the input array.	Array.get(position)	Number	array|position	Array|List	The array to extract from.|The coordinates of the element to get.
ee.Array.gt	On an element-wise basis, returns 1 iff the first value is greater than the second.	Array.gt(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.gte	On an element-wise basis, returns 1 iff the first value is greater than or equal to the second.	Array.gte(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.hypot	On an element-wise basis, calculates the magnitude of the 2D vector [x, y].	Array.hypot(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.identity	Creates a 2D identity matrix of the given size.	ee.Array.identity(size)	Array	size	Integer	The length of each axis.
ee.Array.int	On an element-wise basis, casts the input value to a signed 32-bit integer.	Array.int()	Array	input	Array	The input array.
ee.Array.int16	On an element-wise basis, casts the input value to a signed 16-bit integer.	Array.int16()	Array	input	Array	The input array.
ee.Array.int32	On an element-wise basis, casts the input value to a signed 32-bit integer.	Array.int32()	Array	input	Array	The input array.
ee.Array.int64	On an element-wise basis, casts the input value to a signed 64-bit integer.	Array.int64()	Array	input	Array	The input array.
ee.Array.int8	On an element-wise basis, casts the input value to a signed 8-bit integer.	Array.int8()	Array	input	Array	The input array.
ee.Array.lanczos	On an element-wise basis, computes the Lanczos approximation of the input.	Array.lanczos()	Array	input	Array	The input array.
ee.Array.leftShift	On an element-wise basis, calculates the left shift of v1 by v2 bits.	Array.leftShift(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.left_shift	On an element-wise basis, calculates the left shift of v1 by v2 bits.	Array.left_shift(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.length	Returns a 1-D EEArray containing the length of each dimension of the given EEArray.	Array.length()	Array	array	Array	The array from which to extract the axis lengths.
ee.Array.log	On an element-wise basis, computes the natural logarithm of the input.	Array.log()	Array	input	Array	The input array.
ee.Array.log10	On an element-wise basis, computes the base-10 logarithm of the input.	Array.log10()	Array	input	Array	The input array.
ee.Array.long	On an element-wise basis, casts the input value to a signed 64-bit integer.	Array.long()	Array	input	Array	The input array.
ee.Array.lt	On an element-wise basis, returns 1 iff the first value is less than the second.	Array.lt(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.lte	On an element-wise basis, returns 1 iff the first value is less than or equal to the second.	Array.lte(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.mask	Creates a subarray by slicing out each position in an input array that is parallel to a non-zero element of the given mask array.	Array.mask(mask)	Array	input|mask	Array|Array	Array to mask.|Mask array.
ee.Array.matrixCholeskyDecomposition	Calculates the Cholesky decomposition of a matrix. The Cholesky decomposition is a decomposition into the form L*L' where L is a lower triangular matrix. The input must be a symmetric positive-definite matrix. Returns a dictionary with 1 entry named 'L'.	Array.matrixCholeskyDecomposition()	Dictionary	array	Array	The array to decompose.
ee.Array.matrixDeterminant	Computes the determinant of the matrix.	Array.matrixDeterminant()	Number	input	Array	The array to compute on.
ee.Array.matrixDiagonal	Computes the diagonal of the matrix in a single column.	Array.matrixDiagonal()	Array	input	Array	The input array.
ee.Array.matrixFnorm	Computes the Frobenius norm of the matrix.	Array.matrixFnorm()	Number	input	Array	The array to compute on.
